CR No.,Values
223602,1
224201,1
223332,1
223028,1
223048,1
223078,1
223096,1
223099,1
223161,1
223190,1
223215,1
223222,1
223231,1
223375,1
223571,1
223377,1
223390,1
223446,1
223466,1
223485,1
223488,1
223509,1
223516,1
223540,1
223556,1
224200,1
224215,1
225579,1
225270,1
225058,1
225062,1
225067,1
225085,1
225092,1
225105,1
225143,1
225175,1
225176,1
225222,1
225273,1
225010,1
225318,1
225351,1
225384,1
225398,1
225455,1
225476,1
225487,1
225506,1
225557,1
225568,1
225040,1
224935,1
224216,1
224651,1
224239,1
224280,1
224286,1
224293,1
224337,1
224354,1
224372,1
224450,1
224548,1
224636,1
224680,1
224918,1
224720,1
224760,1
224799,1
224804,1
224844,1
224845,1
224863,1
224875,1
224901,1
224908,1
228465,1
228470,1
223015,1
232745,1
232511,1
232548,1
232557,1
232592,1
232614,1
232618,1
232660,1
232678,1
232687,1
232741,1
232791,1
232461,1
232800,1
232814,1
232816,1
232820,1
232823,1
233015,1
233042,1
233049,1
233054,1
233081,1
232481,1
232453,1
233219,1
232029,1
231744,1
231747,1
231755,1
231806,1
231886,1
231903,1
231909,1
231959,1
232002,1
232009,1
232034,1
232431,1
232046,1
232060,1
232098,1
232138,1
232243,1
232250,1
232332,1
232357,1
232387,1
232430,1
233162,1
233227,1
231563,1
234350,1
234116,1
234130,1
234132,1
234135,1
234146,1
234155,1
234156,1
234234,1
234306,1
234339,1
234387,1
234078,1
234398,1
234400,1
234455,1
234509,1
234521,1
234522,1
234533,1
234564,1
234565,1
234566,1
234110,1
234064,1
233251,1
233606,1
233274,1
233292,1
233307,1
233356,1
233378,1
233386,1
233452,1
233528,1
233582,1
233603,1
233614,1
234034,1
233619,1
233632,1
233694,1
233753,1
233786,1
233876,1
233973,1
234004,1
234007,1
234030,1
231706,1
231506,1
228510,1
229436,1
229187,1
229196,1
229222,1
229321,1
229322,1
229340,1
229346,1
229349,1
229352,1
229369,1
229459,1
229164,1
229612,1
229703,1
229721,1
229747,1
229811,1
229814,1
229887,1
229939,1
229949,1
229972,1
229182,1
229140,1
229995,1
228801,1
228549,1
228553,1
228572,1
228597,1
228630,1
228670,1
228691,1
228720,1
228728,1
228796,1
228817,1
229121,1
228835,1
228846,1
228895,1
228898,1
228913,1
228941,1
228950,1
228959,1
228981,1
229044,1
229977,1
229997,1
231500,1
231165,1
230855,1
230856,1
230862,1
230868,1
230912,1
230918,1
230921,1
230999,1
231014,1
231072,1
231187,1
230765,1
231205,1
231225,1
231359,1
231378,1
231382,1
231418,1
231439,1
231460,1
231470,1
231485,1
230832,1
230734,1
230017,1
230494,1
230067,1
230085,1
230182,1
230203,1
230261,1
230292,1
230329,1
230425,1
230435,1
230484,1
230504,1
230686,1
230508,1
230547,1
230548,1
230558,1
230580,1
230588,1
230620,1
230622,1
230655,1
230685,1
223020,1
223003,1
212669,1
216255,1
216018,1
216041,1
216080,1
216091,1
216097,1
216146,1
216150,1
216174,1
216216,1
216224,1
216273,1
215914,1
216300,1
216308,1
216310,1
216349,1
216360,1
216363,1
216374,1
216375,1
216396,1
216418,1
216011,1
215911,1
216424,1
215658,1
215380,1
215384,1
215405,1
215432,1
215484,1
215496,1
215513,1
215515,1
215632,1
215633,1
215700,1
215835,1
215747,1
215750,1
215758,1
215771,1
215782,1
215784,1
215797,1
215802,1
215815,1
215826,1
216419,1
216469,1
215320,1
217352,1
217106,1
217124,1
217154,1
217182,1
217198,1
217245,1
217263,1
217264,1
217280,1
217349,1
217378,1
217067,1
217422,1
217427,1
217435,1
217437,1
217453,1
217510,1
217534,1
217632,1
217645,1
217661,1
217082,1
217053,1
216502,1
216738,1
216538,1
216545,1
216603,1
216612,1
216656,1
216661,1
216691,1
216707,1
216712,1
216732,1
216811,1
217005,1
216818,1
216820,1
216826,1
216840,1
216841,1
216866,1
216894,1
216902,1
216936,1
216962,1
215350,1
215289,1
217742,1
213648,1
213340,1
213359,1
213406,1
213419,1
213448,1
213463,1
213479,1
213541,1
213553,1
213606,1
213746,1
213275,1
213757,1
213795,1
213809,1
213812,1
213827,1
213830,1
213855,1
213868,1
213896,1
214029,1
213307,1
213270,1
214140,1
212989,1
212842,1
212866,1
212876,1
212892,1
212893,1
212894,1
212896,1
212904,1
212907,1
212950,1
213007,1
213230,1
213067,1
213069,1
213072,1
213125,1
213143,1
213157,1
213164,1
213167,1
213183,1
213189,1
214091,1
214141,1
215286,1
215015,1
214805,1
214843,1
214901,1
214919,1
214921,1
214944,1
214953,1
214964,1
214965,1
214985,1
215103,1
214798,1
215111,1
215116,1
215121,1
215131,1
215151,1
215167,1
215181,1
215259,1
215269,1
215277,1
214800,1
214789,1
214153,1
214352,1
214176,1
214186,1
214214,1
214216,1
214251,1
214303,1
214309,1
214316,1
214327,1
214334,1
214390,1
214763,1
214422,1
214525,1
214538,1
214560,1
214607,1
214670,1
214674,1
214691,1
214720,1
214747,1
217701,1
217777,1
222963,1
221053,1
220907,1
220934,1
220966,1
220982,1
220989,1
221002,1
221007,1
221018,1
221039,1
221048,1
221062,1
220805,1
221094,1
221109,1
221111,1
221168,1
221176,1
221259,1
221281,1
221285,1
221296,1
221309,1
220826,1
220793,1
221359,1
220402,1
220201,1
220204,1
220210,1
220232,1
220273,1
220286,1
220287,1
220323,1
220344,1
220380,1
220502,1
220774,1
220530,1
220535,1
220614,1
220616,1
220646,1
220669,1
220670,1
220736,1
220757,1
220758,1
221336,1
221424,1
220199,1
222637,1
222191,1
222266,1
222287,1
222293,1
222300,1
222387,1
222520,1
222547,1
222565,1
222595,1
222649,1
222169,1
222715,1
222721,1
222749,1
222803,1
222817,1
222838,1
222873,1
222882,1
222936,1
222940,1
222184,1
222167,1
221445,1
221712,1
221464,1
221520,1
221552,1
221577,1
221578,1
221583,1
221588,1
221598,1
221628,1
221701,1
221715,1
222156,1
221739,1
221825,1
221861,1
221872,1
221920,1
221940,1
221989,1
222068,1
222090,1
222110,1
220200,1
220147,1
217792,1
218789,1
218584,1
218586,1
218602,1
218607,1
218642,1
218643,1
218665,1
218675,1
218739,1
218782,1
218827,1
218535,1
218828,1
218848,1
218870,1
218882,1
218900,1
218973,1
219024,1
219040,1
219048,1
219060,1
218579,1
218516,1
219090,1
218023,1
217793,1
217808,1
217820,1
217898,1
217916,1
217933,1
217936,1
217971,1
217984,1
217985,1
218043,1
218446,1
218105,1
218143,1
218176,1
218276,1
218306,1
218311,1
218366,1
218383,1
218397,1
218416,1
219067,1
219097,1
220134,1
219816,1
219667,1
219670,1
219682,1
219702,1
219712,1
219735,1
219736,1
219759,1
219788,1
219789,1
219850,1
219613,1
219867,1
219914,1
219960,1
219984,1
219989,1
219996,1
220000,1
220006,1
220041,1
220045,1
219664,1
219604,1
219102,1
219395,1
219125,1
219162,1
219186,1
219206,1
219239,1
219318,1
219319,1
219361,1
219386,1
219391,1
219399,1
219592,1
219421,1
219439,1
219458,1
219467,1
219473,1
219519,1
219526,1
219543,1
219573,1
219577,1
281716,1
Null values,0
