Radiological scan availibility,Values
YES,2114
Records not found,695
No scan,227
no scan,142
No records found,109
records not found,103
No baseline scan,91
No report,75
No record found,57
No record,15
no baseline scan,7
No scans,6
?,4
No report found,2
Records not ofund,1
Record not found,1
Rcords not found,1
Records no found,1
download ni hore,1
Records  not found,1
records nor found,1
record not found,1
File not downloading,1
No Scan,1
Null values,0
